US1NYCM0006  42.0890  -76.7489  341.4 NY ELMIRA 3.2 E                                
US1NYCM0007  42.0830  -76.8462  271.3 NY WEST ELMIRA 0.5 SSE                         
US1NYCM0008  42.1500  -76.8167  271.9 NY HORSEHEADS 1.5 SSE                          
US1NYCM0010  42.2000  -76.5500  182.9 NY VAN ETTEN 0.3 ENE                           
US1NYCM0012  42.1437  -76.9512  281.9 NY HORSEHEADS                                  
US1NYCM0013  42.0975  -76.8231  269.4 NY ELMIRA 0.7 WNW                              
US1NYCM0014  42.1707  -76.8435  287.1 NY HORSEHEADS 0.7 W                            
US1NYCM0017  42.0022  -76.8308  484.0 NY PINE CITY 3.1 SE                            
US1NYCM0019  42.1734  -76.8604  301.4 NY HORSEHEADS 1.6 W                            
US1NYCM0020  42.1325  -76.8159  265.5 NY HORSEHEADS 2.7 SSE                          
US1NYCM0021  42.1021  -76.8304  284.1 NY ELMIRA 1.2 WNW                              
US1NYCM0023  42.1824  -76.8349  287.7 NY HORSEHEADS 0.9 NNW                          
US1NYCM0024  42.0913  -76.6281  325.8 NY CHEMUNG 5.7 N                               
US1NYCN0002  42.5833  -75.4333  548.6 NY NORWICH 5.7 NE                              
US1NYCN0003  42.3333  -75.7667  276.1 NY GREENE 0.3 NE                               
US1NYCN0006  42.3225  -75.7507  342.0 NY GREENE 1.2 ESE                              
US1NYCN0008  42.7260  -75.4620  384.0 NY SHERBURNE 3.6 NNE                           
US1NYCN0009  42.5336  -75.6306  456.6 NY NORWICH 5.4 W                               
US1NYCN0011  42.6990  -75.6121  383.1 NY SMYRNA 2.4 WNW                              
US1NYCN0013  42.4120  -75.5037  480.4 NY GUILFORD 0.9 NW                             
US1NYCN0014  42.4516  -75.6017  379.2 NY OXFORD 0.8 NNW                              
US1NYCN0016  42.2872  -75.5363  348.7 NY BAINBRIDGE 2.9 WSW                          
US1NYCN0018  42.2124  -75.4238  550.2 NY BAINBRIDGE 6.5 SSE                          
US1NYCQ0005  42.1594  -79.0967  391.4 NY KENNEDY 0.3 NE                              
US1NYCQ0006  42.4474  -79.2045  356.3 NY FORESTVILLE 2.1 SW                          
US1NYCQ0007  42.0015  -79.1300  429.2 NY FREWSBURG 4.3 SSE                           
US1NYCQ0010  42.4825  -79.3428  188.1 NY DUNKIRK 5.8 S                               
US1NYCQ0012  42.0957  -79.2013  463.9 NY JAMESTOWN 1.8 E                             
US1NYCQ0015  42.1621  -79.5885  477.0 NY SHERMAN 0.4 ENE                             
US1NYCQ0017  42.4460  -79.1371  430.4 NY FORESTVILLE 2.5 SE                          
US1NYCQ0019  42.2127  -79.7555  392.6 NY RIPLEY 4.3 SSW                              
US1NYCQ0021  42.0160  -79.1249  441.0 NY FREWSBURG 3.4 SSE                           
US1NYCQ0022  42.4441  -79.3461  207.3 NY FREDONIA 0.8 WNW                            
US1NYCQ0027  42.5309  -79.1599  219.5 NY SILVER CREEK 1.0 SSE                        
US1NYCQ0034  42.1257  -79.0723  478.5 NY KENNEDY 2.6 SE                              
US1NYCQ0035  42.1177  -79.2028  385.9 NY FALCONER 0.3 WSW                            
US1NYCQ0036  42.1617  -79.2819  540.4 NY JAMESTOWN 5.0 NNW                           
US1NYCQ0039  42.2050  -79.2470  465.1 NY GERRY 0.8 N                                 
US1NYCQ0040  42.0881  -79.2594  466.3 NY JAMESTOWN 1.4 WSW                           
US1NYCQ0041  42.2519  -79.4981  432.2 NY MAYVILLE 0.2 ESE                            
US1NYCR0001  42.5330  -76.0211  476.7 NY FREETOWN 1.0 NE                             
US1NYCR0003  42.4739  -75.8725  427.3 NY WILLET 1.8 E                                
US1NYCR0005  42.4516  -76.0437  313.9 NY MARATHON 1.0 NW                             
US1NYCR0008  42.4407  -76.0490  376.7 NY MARATHON 0.7 WSW                            
US1NYCR0010  42.6038  -76.1637  336.8 NY CORTLAND 0.8 ENE                            
US1NYCR0013  42.5658  -76.2053  417.9 NY CORTLAND 2.8 SSW                            
US1NYCT0002  42.1706  -78.9612  406.9 NY RANDOLPH 1.1 ENE                            
US1NYCT0003  42.2847  -78.3115  486.5 NY CUBA 4.9 NNW                                
US1NYCT0005  42.0013  -78.3595  441.0 NY PORTVILLE 2.6 SSW                           
US1NYCT0006  42.0920  -78.4130  469.7 NY OLEAN 1.2 NE                                
US1NYCT0007  42.2240  -78.4299  586.1 NY HINSDALE 4.4 NW                             
US1NYCT0010  42.1659  -78.9324  431.6 NY RANDOLPH 2.4 E                              
US1NYCT0011  42.1587  -78.4905  508.1 NY ALLEGANY 4.7 N                              
US1NYCT0012  42.3312  -78.4615  481.6 NY FRANKLINVILLE 0.4 SW                        
US1NYCT0014  42.4600  -79.0000  378.9 NY PERRYSBURG 0.1 ENE                          
US1NYCT0015  42.4012  -78.6092  469.4 NY WEST VALLEY 0.1 SE                          
US1NYCT0021  42.2647  -78.8010  518.2 NY LITTLE VALLEY 1.1 N                         
US1NYCT0022  42.3417  -78.4528  488.6 NY FRANKLINVILLE 0.5 NNE                       
US1NYCT0025  42.2430  -78.3964  466.0 NY ISCHUA 0.4 SSE                              
US1NYCT0030  42.3366  -78.3879  618.7 NY FRANKLINVILLE 3.5 E                         
US1NYCY0001  42.7390  -76.6570  259.1 NY AURORA 2.8 ESE                              
US1NYCY0002  42.8966  -76.6727  158.5 NY CAYUGA 3.2 ESE                              
US1NYCY0003  42.9333  -76.6500  155.4 NY CAYUGA 4.1 ENE                              
